Title,Year,Rating,NumVotes,imdbID,Type,Released,Runtime,Genres,Directors,Actors,Country,Metascore,imdbRating,imdbVotes,tomatoMeter,tomatoReviews,tomatoUserMeter,tomatoUserReviews,DVD,poster_path,release_date
"Terminator Genisys","2015","7","55833","tt1340138","Movie","01 Jul 2015","126","Action, Adventure, Sci-Fi","Alan Taylor","Arnold Schwarzenegger, Jason Clarke, Emilia Clarke, Jai Courtney","USA","38","7.0","47,838","27","189","66","62774","N/A","/5JU9ytZJyR3zmClGmVm9q4Geqbd.jpg","2015-07-01"
"Magic Mike XXL","2015","6.3","7824","tt2268016","Movie","01 Jul 2015","115","Comedy, Drama, Music","Gregory Jacobs","Channing Tatum, Elizabeth Banks, Matt Bomer, Amber Heard","USA","N/A","N/A","N/A","64","160","69","22182","N/A","/fJSVYY7dIbdvXLkOSV4iQUyVbkc.jpg","2015-07-01"
"Minions","2015","6.8","31951","tt2293640","Movie","10 Jul 2015","91","Animation, Comedy, Family","Kyle Balda, Pierre Coffin","Sandra Bullock, Jon Hamm, Michael Keaton, Allison Janney","USA","56","6.8","24,312","55","144","64","99472","N/A","/s5uMY8ooGRZOL0oe4sIvnlTsYQO.jpg","2015-07-10"
"Jurassic World","2015","7.4","200214","tt0369610","Movie","12 Jun 2015","124","Action, Adventure, Sci-Fi","Colin Trevorrow","Chris Pratt, Bryce Dallas Howard, Irrfan Khan, Vincent D'Onofrio","USA, China","59","7.4","176,668","71","254","82","174205","N/A","/uXZYawqUsChGSj54wcuBtEdUJbh.jpg","2015-06-12"
"Inside Out","2015","8.7","59260","tt2096673","Movie","19 Jun 2015","94","Animation, Adventure, Comedy","Pete Docter, Ronaldo Del Carmen","Amy Poehler, Phyllis Smith, Richard Kind, Bill Hader","USA","93","8.7","44,496","98","227","91","75663","N/A","/aAmfIX3TT40zUHGcCKrlOZRKC7u.jpg","2015-06-19"
"Ant-Man","2015","8","27206","tt0478970","Movie","17 Jul 2015","117","Action, Sci-Fi","Peyton Reed","Paul Rudd, Michael Douglas, Evangeline Lilly, Corey Stoll","USA","N/A","8.3","1,483","70","33","N/A","98855","N/A","/7SGGUiTE6oc2fh9MjIk5M00dsQd.jpg","2015-07-17"
"Mad Max: Fury Road","2015","8.4","244514","tt1392190","Movie","15 May 2015","120","Action, Adventure, Sci-Fi","George Miller","Tom Hardy, Charlize Theron, Nicholas Hoult, Hugh Keays-Byrne","Australia, USA","89","8.5","226,488","98","277","89","89490","28 Sep 2015","/kqjL17yufvn9OVLyXYpvtyrFfak.jpg","2015-05-15"
"Ted 2","2015","6.8","28341","tt2637276","Movie","26 Jun 2015","115","Comedy","Seth MacFarlane","Mark Wahlberg, Seth MacFarlane, Amanda Seyfried, Jessica Barth","USA","49","7.1","5,979","46","145","65","44451","N/A","/A7HtCxFe7Ms8H7e7o2zawppbuDT.jpg","2015-06-26"
"The Gallows","2015","4.5","2447","tt2309260","Movie","10 Jul 2015","81","Horror, Thriller","Travis Cluff, Chris Lofing","Reese Mishler, Pfeifer Brown, Ryan Shoos, Cassidy Gifford","USA","30","4.6","2,617","N/A","N/A","N/A","3647","N/A","/rCcmr3PqKohsjl7SlsTRZF0WcUF.jpg","2015-07-10"
"Spy","2015","7.4","49862","tt3079380","Movie","05 Jun 2015","120","Action, Comedy, Crime","Paul Feig","Jude Law, Raad Rawi, Melissa McCarthy, Jessica Chaffin","USA","75","7.4","47,668","95","195","84","58861","N/A","/gCBw0AQDhlo0bNetkjsSRWzrxpW.jpg","2015-06-05"
"Kingsman: The Secret Service","2014","7.9","243239","tt2802144","Movie","13 Feb 2015","129","Action, Adventure, Comedy","Matthew Vaughn","Adrian Quinton, Colin Firth, Mark Strong, Jonno Davies","UK","58","7.9","215,068","74","189","85","112251","09 Jun 2015","/8x7ej0LnHdKUqilNNJXYOeyB6L9.jpg","2015-02-13"
"The Longest Ride","2015","7.2","15712","tt2726560","Movie","10 Apr 2015","139","Drama, Romance","George Tillman Jr.","Britt Robertson, Scott Eastwood, Alan Alda, Jack Huston","USA","33","7.2","16,436","30","103","75","26026","14 Jul 2015","/9oduon4a0w5a398r2o1M28s3upC.jpg","2015-04-10"
"Insurgent","2015","6.6","60651","tt2908446","Movie","20 Mar 2015","119","Adventure, Sci-Fi, Thriller","Robert Schwentke","Kate Winslet, Jai Courtney, Mekhi Phifer, Shailene Woodley","USA","42","6.9","47,336","30","162","66","66805","04 Aug 2015","/aBBQSC8ZECGn6Wh92gKDOakSC8p.jpg","2015-03-20"
"The Terminator","1984","8.1","522635","tt0088247","Movie","26 Oct 1984","107","Action, Sci-Fi","James Cameron","Arnold Schwarzenegger, Michael Biehn, Linda Hamilton, Paul Winfield","UK, USA","84","8.1","516,364","100","53","88","770626","03 Sep 1997","/q8ffBuxQlYOHrvPniLgCbmKK4Lv.jpg","1984-10-26"
"Self/less","2015","6.5","1888","tt2140379","Movie","10 Jul 2015","116","Mystery, Sci-Fi, Thriller","Tarsem Singh","Ryan Reynolds, Matthew Goode, Ben Kingsley, Natalie Martinez","USA","N/A","N/A","N/A","23","111","56","18033","N/A","/yf8DGTA7K4WAfMm5UwzPsvNKH9C.jpg","2015-07-10"
"Avengers: Age of Ultron","2015","7.9","244047","tt2395427","Movie","01 May 2015","141","Action, Adventure, Sci-Fi","Joss Whedon","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans","USA","66","7.9","235,665","74","271","87","261557","N/A","/t90Y3G8UGQp0f0DrP60wRu9gfrH.jpg","2015-05-01"
"Staten Island Summer","2015","5.7","348","tt3137764","Movie","30 Jun 2015","108","Comedy","Rhys Thomas","Ashley Greene, Brett Azar, Kate McKinnon, Kate Walsh","USA","N/A","5.7","315","N/A","N/A","N/A","6","N/A","/5FJwZBSEz97dYn2fTbb9YrVlQP5.jpg","2015-07-30"
"Independence Day","1996","6.9","385520","tt0116629","Movie","03 Jul 1996","145","Action, Adventure, Sci-Fi","Roland Emmerich","Will Smith, Bill Pullman, Jeff Goldblum, Mary McDonnell","USA","59","6.9","382,940","60","57","75","974367","27 Jun 2000","/cf3cmVa1zrmfQoltnezvsniNnoX.jpg","1996-06-25"
"Bahubali: The Beginning","2015","9.3","30872","tt2631186","Movie","09 Jul 2015","159","Action, Adventure, History","S.S. Rajamouli","Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia","India","N/A","9.4","8,425","N/A","N/A","N/A","N/A","N/A","/hNMtfc5YUWTSrRURB3Pmh2IMMax.jpg","2015-07-10"
"Magic Mike","2012","6.1","94630","tt1915581","Movie","29 Jun 2012","110","Comedy, Drama","Steven Soderbergh","Matthew McConaughey, Channing Tatum, Olivia Munn, Alex Pettyfer","USA","72","6.1","92,534","80","192","61","143056","23 Oct 2012","/yHMWb5lpvCzKuxnEPd3OXq7OvMh.jpg","2012-06-29"
"Jupiter Ascending","2015","5.5","96379","tt1617661","Movie","06 Feb 2015","127","Action, Adventure, Sci-Fi","Andy Wachowski, Lana Wachowski","Mila Kunis, Channing Tatum, Sean Bean, Eddie Redmayne","USA, UK","40","5.5","89,053","25","205","42","90869","02 Jun 2015","/aMEsvTUklw0uZ3gk3Q6lAj6302a.jpg","2015-02-27"
"Southpaw","2015","8.4","1347","tt1798684","Movie","24 Jul 2015","123","Action, Drama, Sport","Antoine Fuqua","Rachel McAdams, Jake Gyllenhaal, Forest Whitaker, Naomie Harris","USA","57","8.8","537","N/A","N/A","N/A","N/A","N/A","/qFC07nj9lWWmnbkS191AgFUth9J.jpg","2015-07-24"
"Trainwreck","2015","6.9","4601","tt3152624","Movie","17 Jul 2015","125","Comedy","Judd Apatow","Colin Quinn, Devin Fabry, Carla Oudin, Amy Schumer","USA","75","6.9","4,545","89","75","N/A","25343","N/A","/2USk7mhiCXRkU9NzttXCzOjg2iV.jpg","2015-07-17"
"Queen of the Desert","2015","6.5","376","tt1837636","Movie","N/A","128","Biography, Drama","Werner Herzog","Nicole Kidman, James Franco, Robert Pattinson, Damian Lewis","USA, Morocco","38","6.5","355","0","9","N/A","155","N/A","/g5F1dS7E6qJIeRUeB5uR6DNvkT7.jpg","2015-11-20"
"Jurassic Park","1993","8.1","513782","tt0107290","Movie","11 Jun 1993","127","Adventure, Sci-Fi, Thriller","Steven Spielberg","Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough","USA","68","8.1","504,698","93","115","91","1063557","10 Oct 2000","/c414cDeQ9b6qLPLeKmiJuLDUREJ.jpg","1993-06-08"
"Terminator 2: Judgment Day","1991","8.5","653079","tt0103064","Movie","03 Jul 1991","137","Action, Sci-Fi","James Cameron","Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick","USA, France","68","8.5","645,385","93","67","94","743998","31 Mar 1998","/2y4dmgWYRMYXdD1UyJVcn2HSd1D.jpg","1991-07-01"
"San Andreas","2015","6.5","42452","tt2126355","Movie","29 May 2015","114","Action, Drama, Thriller","Brad Peyton","Dwayne Johnson, Carla Gugino, Alexandra Daddario, Ioan Gruffudd","USA, Australia","43","6.6","37,953","50","187","60","48130","N/A","/6iQ4CMtYorKFfAmXEpAQZMnA0Qe.jpg","2015-05-29"
"Ex Machina","2015","7.8","128898","tt0470752","Movie","24 Apr 2015","108","Drama, Sci-Fi","Alex Garland","Domhnall Gleeson, Corey Johnson, Oscar Isaac, Alicia Vikander","UK","78","7.8","114,617","92","201","87","51411","14 Jul 2015","/btbRB7BrD887j5NrvjxceRDmaot.jpg","2015-01-21"
"Gone Girl","2014","8.2","430742","tt2267998","Movie","03 Oct 2014","149","Drama, Mystery, Thriller","David Fincher","Ben Affleck, Rosamund Pike, Neil Patrick Harris, Tyler Perry","USA","79","8.2","420,917","88","283","87","120366","13 Jan 2015","/gdiLTof3rbPDAmPaCf4g6op46bj.jpg","2014-10-03"
"Guardians of the Galaxy","2014","8.1","517159","tt2015381","Movie","01 Aug 2014","121","Action, Adventure, Sci-Fi","James Gunn","Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel","USA, UK","76","8.1","503,909","91","260","93","240352","09 Dec 2014","/9gm3lL8JMTTmc3W4BmNMCuRLdL8.jpg","2014-08-01"
"Focus","2015","6.6","87392","tt2381941","Movie","27 Feb 2015","105","Comedy, Crime, Drama","Glenn Ficarra, John Requa","Will Smith, Margot Robbie, Adrian Martinez, Gerald McRaney","USA, Argentina","56","6.6","85,703","56","181","55","41101","02 Jun 2015","/9IElGiLkxPLUWZ3avy31bNSG3Tq.jpg","2015-02-27"
"Maggie","2015","5.6","15123","tt1881002","Movie","08 May 2015","95","Drama, Horror, Thriller","Henry Hobson","Arnold Schwarzenegger, Abigail Breslin, Joely Richardson, Douglas M. Griffin","USA, Switzerland","52","5.7","12,155","51","86","36","7584","07 Jul 2015","/mFt7Oo3pf8f1BZAdWLyUpYM63aT.jpg","2015-05-08"
"Fifty Shades of Grey","2015","4.2","172756","tt2322441","Movie","13 Feb 2015","125","Drama, Romance","Sam Taylor-Johnson","Dakota Johnson, Jamie Dornan, Jennifer Ehle, Eloise Mumford","USA","46","4.2","167,612","N/A","N/A","N/A","N/A","N/A","/jV8wnk3Jgz6f7degmT3lHNGI2tK.jpg","2015-02-13"
"Paper Towns","2015","7.1","1403","tt3622592","Movie","24 Jul 2015","N/A","Drama, Mystery, Romance","Jake Schreier","Cara Delevingne, Nat Wolff, Halston Sage, Cara Buono","USA","N/A","7.7","310","N/A","N/A","N/A","13999","N/A","/2VOgrwZwoOSCEmRJr4aMM2N4ZzS.jpg","2015-07-24"
"Terminator Salvation","2009","6.7","260196","tt0438488","Movie","21 May 2009","115","Action, Sci-Fi","McG","Christian Bale, Sam Worthington, Moon Bloodgood, Helena Bonham Carter","USA, Germany, UK, Italy","52","6.7","256,064","33","267","54","882999","01 Dec 2009","/hxDfhavtxA2Ayx7O9BsQMcZRdG0.jpg","2009-05-20"
"Chappie","2015","7","108666","tt1823672","Movie","06 Mar 2015","120","Action, Crime, Sci-Fi","Neill Blomkamp","Sharlto Copley, Dev Patel, Ninja, Yo-Landi Visser","USA, Mexico","41","7.0","109,242","31","180","59","43852","16 Jun 2015","/saF3HtAduvrP9ytXDxSnQJP3oqx.jpg","2015-03-06"
"Interstellar","2014","8.7","674072","tt0816692","Movie","07 Nov 2014","169","Adventure, Drama, Sci-Fi","Christopher Nolan","Ellen Burstyn, Matthew McConaughey, Mackenzie Foy, John Lithgow","USA, UK, Canada","74","8.7","671,963","72","288","85","160917","31 Mar 2015","/nBNZadXqJSdt05SHLqgT0HuC5Gm.jpg","2014-11-05"
"Max","2015","7.1","3434","tt3369806","Movie","26 Jun 2015","111","Adventure, Family","Boaz Yakin","Thomas Haden Church, Josh Wiggins, Luke Kleintank, Lauren Graham","USA","47","7.3","1,645","38","68","75","14848","29 Sep 2015","/cSxwDtVlVa15e9KZgdE9sPNM8qj.jpg","2015-06-26"
"Dope","2015","7.6","4047","tt3850214","Movie","19 Jun 2015","103","Comedy, Crime, Drama","Rick Famuyiwa","Rakim Mayers, Blake Anderson, Bruce Beatty, De'aundre Bonds","USA","72","7.5","2,160","89","103","86","13818","N/A","/oZ6tXopDrgfzuJZgmO1SFP69nFm.jpg","2015-06-19"
"Insidious: Chapter 3","2015","6.4","20299","tt3195644","Movie","05 Jun 2015","97","Drama, Horror, Thriller","Leigh Whannell","Dermot Mulroney, Stefanie Scott, Angus Sampson, Leigh Whannell","Canada, USA","52","6.4","20,814","59","91","58","26234","N/A","/ixANIbPRTNMAstlqJa2FlfBesyQ.jpg","2015-06-05"
"Me and Earl and the Dying Girl","2015","8.3","4208","tt2582496","Movie","12 Jun 2015","105","Comedy, Drama","Alfonso Gomez-Rejon","Thomas Mann, RJ Cyler, Olivia Cooke, Nick Offerman","USA","74","8.3","3,619","82","110","90","10880","N/A","/e4OMCk0A3IcCtTFuYvDcehnrh8w.jpg","2015-06-12"
"Cinderella","2015","7.2","57327","tt1661199","Movie","13 Mar 2015","105","Drama, Family, Fantasy","Kenneth Branagh","Cate Blanchett, Lily James, Richard Madden, Helena Bonham Carter","USA, UK","67","7.2","54,126","85","194","81","66338","N/A","/2i0JH5WqYFqki7WDhUW56Sg0obh.jpg","2015-03-13"
"Get Hard","2015","6.1","38616","tt2561572","Movie","27 Mar 2015","100","Comedy","Etan Cohen","Will Ferrell, Kevin Hart, Craig T. Nelson, Alison Brie","USA","34","6.1","31,875","29","153","50","47537","30 Jun 2015","/qRzUSrN4p6B7fzA5XGm4ebFg3co.jpg","2015-03-27"
"Terminator 3: Rise of the Machines","2003","6.4","272914","tt0181852","Movie","02 Jul 2003","109","Action, Sci-Fi","Jonathan Mostow","Arnold Schwarzenegger, Nick Stahl, Claire Danes, Kristanna Loken","USA, Germany, UK","66","6.4","268,646","70","201","47","439376","11 Nov 2003","/lz4xYdF1n09lyiCfZWtWT44SZiG.jpg","2003-06-30"
"Furious Seven","2015","7.6","182756","tt2820852","Movie","03 Apr 2015","137","Action, Crime, Thriller","James Wan","Vin Diesel, Paul Walker, Jason Statham, Michelle Rodriguez","USA, Japan","67","7.6","175,779","81","204","85","183620","N/A","/dCgm7efXDmiABSdWDHBDBx2jwmn.jpg","2015-04-03"
"Home","2015","6.7","30668","tt2224026","Movie","27 Mar 2015","94","Animation, Adventure, Comedy","Tim Johnson","Jim Parsons, Rihanna, Steve Martin, Jennifer Lopez","USA","55","6.8","22,386","46","105","66","45718","28 Jul 2015","/ieg4Mm9cqTkozxpM87ewTx5vaok.jpg","2015-03-27"
"Woman in Gold","2015","7.4","12371","tt2404425","Movie","10 Apr 2015","109","Drama","Simon Curtis","Helen Mirren, Ryan Reynolds, Daniel Brühl, Katie Holmes","USA, UK","51","7.4","11,822","53","120","83","14376","07 Jul 2015","/mNg0HRIhJyPgKo3NoxD3rfw061O.jpg","2015-04-10"
"The Book of Life","2014","7.3","32530","tt2262227","Movie","17 Oct 2014","95","Animation, Adventure, Comedy","Jorge R. Gutiérrez","Diego Luna, Zoe Saldana, Channing Tatum, Ron Perlman","USA","67","7.3","32,426","82","106","78","46837","27 Jan 2015","/5B4lKHSQAtT1FSEfbjJkQ8ylxAY.jpg","2014-10-17"
"Pitch Perfect 2","2015","6.9","40784","tt2848292","Movie","15 May 2015","115","Comedy, Music","Elizabeth Banks","Anna Kendrick, Rebel Wilson, Hailee Steinfeld, Brittany Snow","USA","63","6.9","39,803","65","152","70","66428","N/A","/qSjruLiFB4uqRtz2xheQPxG8uaB.jpg","2015-05-15"
